seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr3	3840632	3840643	12	*	X1071	57633	3841121	3889387	48267	+	477	upstream	477	LRRN1
chr3	22414800	22414808	9	*	X1142	79750	21462490	22414123	951634	-	676	upstream	676	ZNF385D
chr3	30936253	30936261	9	*	X1182	339896	30767692	30936153	168462	-	99	upstream	99	GADL1
chr3	30936741	30936762	22	*	X1183	339896	30767692	30936153	168462	-	587	upstream	587	GADL1
chr3	35680897	35680905	9	*	X1185	10777	35680666	35835988	155323	+	0	inside	230	ARPP21
chr3	37492948	37492968	21	*	X1187	3680	37493813	37861281	367469	+	844	upstream	844	ITGA9
chr3	64674784	64674822	39	*	X1325	56999	64501331	64673365	172035	-	1418	upstream	1418	ADAMTS9
chr3	114036648	114036661	14	*	X1431	693153	114035322	114035416	95	-	1231	upstream	1231	MIR568
chr3	123752755	123752764	10	*	X1469	8997	123752542	124440036	687495	+	0	inside	212	KALRN
chr3	132756457	132756465	9	*	X1505	66000	132757171	133116619	359449	+	705	upstream	705	TMEM108
chr3	142683068	142683077	10	*	X1534	344838	142680074	142682178	2105	-	889	upstream	889	PAQR9
chr3	142683081	142683109	29	*	X1535	344838	142680074	142682178	2105	-	902	upstream	902	PAQR9
chr3	167612739	167612760	22	*	X1586	646168	167613736	167641797	28062	+	975	upstream	975	LRRC77P
chr3	171178724	171178735	12	*	X1621	23043	170780292	171178197	397906	-	526	upstream	526	TNIK
chr3	179755490	179755504	15	*	X1655	51555	179512747	179754841	242095	-	648	upstream	648	PEX5L
chr3	179755685	179755693	9	*	X1656	51555	179512747	179754841	242095	-	843	upstream	843	PEX5L
chr3	180774102	180774110	9	*	X1657	347689	180774468	181460013	685546	+	357	upstream	357	SOX2-OT
chr3	187388353	187388363	11	*	X1680	6750	187386694	187388201	1508	-	151	upstream	151	SST
chr3	190040794	190040817	24	*	X1699	9076	190023490	190040235	16746	-	558	upstream	558	CLDN1
chr3	197808672	197808682	11	*	X1721	348840	197784404	197807542	23139	-	1129	upstream	1129	ANKRD18DP
chr4	16900199	16900213	15	*	X1759	9079	16503165	16900424	397260	-	0	inside	210	LDB2
chr4	16900216	16900224	9	*	X1760	9079	16503165	16900424	397260	-	0	inside	199	LDB2
chr4	46392839	46392847	9	*	X1787	2555	46251581	46392421	140841	-	417	upstream	417	GABRA2
chr4	66536149	66536158	10	*	X1801	2044	66185281	66535653	350373	-	495	upstream	495	EPHA5
chr4	72896712	72896720	9	*	X1803	10886	72897521	73013918	116398	+	800	upstream	800	NPFFR2
chr4	72896722	72896733	12	*	X1804	10886	72897521	73013918	116398	+	787	upstream	787	NPFFR2
chr4	74965500	74965547	48	*	X1805	2920	74962754	74964997	2244	-	502	upstream	502	CXCL2
chr4	81104872	81104881	10	*	X1810	56978	81105439	81125482	20044	+	557	upstream	557	PRDM8
chr4	81186793	81186801	9	*	X1813	2250	81187742	81212171	24430	+	940	upstream	940	FGF5
chr4	81186981	81186989	9	*	X1814	2250	81187742	81212171	24430	+	752	upstream	752	FGF5
chr4	90759332	90759340	9	*	X1830	6622	90645250	90759447	114198	-	0	inside	106	SNCA
chr4	96471605	96471619	15	*	X1839	8633	96083656	96470361	386706	-	1243	upstream	1243	UNC5C
chr4	109088299	109088307	9	*	X1842	641518	109088681	109097586	8906	+	373	upstream	373	LEF1-AS1
chr4	109088509	109088551	43	*	X1843	641518	109088681	109097586	8906	+	129	upstream	129	LEF1-AS1
chr4	109088573	109088581	9	*	X1844	641518	109088681	109097586	8906	+	99	upstream	99	LEF1-AS1
chr4	109089814	109089822	9	*	X1845	51176	108968701	109090112	121412	-	0	inside	289	LEF1
chr4	109090308	109090322	15	*	X1846	51176	108968701	109090112	121412	-	195	upstream	195	LEF1
chr4	109090753	109090762	10	*	X1847	51176	108968701	109090112	121412	-	640	upstream	640	LEF1
chr4	110223825	110223833	9	*	X1854	84570	109731877	110223799	491923	-	25	upstream	25	COL25A1
chr4	110223867	110223876	10	*	X1855	84570	109731877	110223799	491923	-	67	upstream	67	COL25A1
chr4	110223887	110223897	11	*	X1856	84570	109731877	110223799	491923	-	87	upstream	87	COL25A1
chr4	113437955	113437964	10	*	X1862	63973	113434672	113437328	2657	-	626	upstream	626	NEUROG2
chr4	116035562	116035570	9	*	X1872	64579	115748927	116035032	286106	-	529	upstream	529	NDST4
chr4	146859865	146859875	11	*	X1882	152485	146681888	146859607	177720	-	257	upstream	257	ZNF827
chr4	146859885	146859893	9	*	X1883	152485	146681888	146859607	177720	-	277	upstream	277	ZNF827
chr4	146860091	146860107	17	*	X1884	152485	146681888	146859607	177720	-	483	upstream	483	ZNF827
chr4	146860141	146860172	32	*	X1885	152485	146681888	146859607	177720	-	533	upstream	533	ZNF827
chr4	146860256	146860265	10	*	X1886	152485	146681888	146859607	177720	-	648	upstream	648	ZNF827
chr4	150998462	150998479	18	*	X1900	166614	150999426	151178608	179183	+	946	upstream	946	DCLK2
chr4	154710697	154710703	7	*	X1902	6423	154701742	154710228	8487	-	468	upstream	468	SFRP2
chr4	166793250	166793291	42	*	X1916	7092	166794410	167025609	231200	+	1118	upstream	1118	TLL1
chr4	168155503	168155513	11	*	X1924	50859	167654536	168155741	501206	-	0	inside	227	SPOCK3
chr4	168156314	168156349	36	*	X1925	50859	167654536	168155741	501206	-	572	upstream	572	SPOCK3
chr5	5140591	5140599	9	*	X2122	170690	5140443	5320412	179970	+	0	inside	147	ADAMTS16
chr5	31193404	31193412	9	*	X2220	1004	31193762	31329253	135492	+	349	upstream	349	CDH6
chr5	57877900	57877910	11	*	X2263	115827	57878939	58147406	268468	+	1028	upstream	1028	RAB3C
chr5	57878315	57878323	9	*	X2264	115827	57878939	58147406	268468	+	615	upstream	615	RAB3C
chr5	57878332	57878341	10	*	X2265	115827	57878939	58147406	268468	+	597	upstream	597	RAB3C
chr5	75698589	75698599	11	*	X2295	10788	75699149	76003957	304809	+	549	upstream	549	IQGAP2
chr5	76010658	76010666	9	*	X2296	2149	76011868	76031595	19728	+	1201	upstream	1201	F2R
chr5	92918479	92918491	13	*	X2319	441094	92745065	92917003	171939	-	1475	upstream	1475	NR2F1-AS1
chr5	92918479	92918491	13	*	X2319	7025	92919043	92929786	10744	+	551	upstream	551	NR2F1
chr5	92918494	92918508	15	*	X2320	441094	92745065	92917003	171939	-	1490	upstream	1490	NR2F1-AS1
chr5	92918494	92918508	15	*	X2320	7025	92919043	92929786	10744	+	534	upstream	534	NR2F1
chr5	94620680	94620688	9	*	X2325	79772	94042289	94620279	577991	-	400	upstream	400	MCTP1
chr5	94620767	94620776	10	*	X2326	79772	94042289	94620279	577991	-	487	upstream	487	MCTP1
chr5	114516116	114516125	10	*	X2350	55521	114460459	114516243	55785	-	0	inside	117	TRIM36
chr5	124084429	124084440	12	*	X2375	57507	123972610	124084500	111891	-	0	inside	59	ZNF608
chr5	124084482	124084491	10	*	X2376	57507	123972610	124084500	111891	-	0	inside	8	ZNF608
chr5	139423695	139423724	30	*	X2399	9542	139226364	139422884	196521	-	810	upstream	810	NRG2
chr5	146300325	146300338	14	*	X2435	100874361	146293770	146299069	5300	-	1255	upstream	1255	PPP2R2B-IT1
chr5	146613835	146613843	9	*	X2436	202374	146614579	146764241	149663	+	735	upstream	735	STK32A
chr5	146937664	146937672	9	*	X2444	153469	146939557	147041572	102016	+	1884	upstream	1884	JAKMIP2-AS1
chr5	158759081	158759091	11	*	X2516	3593	158741791	158757481	15691	-	1599	upstream	1599	IL12B
chr5	168728673	168728687	15	*	X2590	6586	168088738	168728133	639396	-	539	upstream	539	SLIT3
chr5	168729086	168729094	9	*	X2591	6586	168088738	168728133	639396	-	952	upstream	952	SLIT3
chr5	168729235	168729243	9	*	X2592	6586	168088738	168728133	639396	-	1101	upstream	1101	SLIT3
chr5	168729266	168729275	10	*	X2593	6586	168088738	168728133	639396	-	1132	upstream	1132	SLIT3
chr5	168729322	168729333	12	*	X2594	6586	168088738	168728133	639396	-	1188	upstream	1188	SLIT3
chr6	1608950	1608959	10	*	X2663	2296	1610681	1614129	3449	+	1721	upstream	1721	FOXC1
chr6	10412154	10412164	11	*	X2705	100130275	10412551	10416402	3852	+	386	upstream	386	TFAP2A-AS1
chr6	10412599	10412603	5	*	X2706	100130275	10412551	10416402	3852	+	0	inside	47	TFAP2A-AS1
chr6	18266614	18266624	11	*	X2712	7913	18224400	18264799	40400	-	1814	upstream	1814	DEK
chr6	21664981	21664989	9	*	X2722	401237	21665003	22214734	549732	+	13	upstream	13	CASC15
chr6	37667009	37667018	10	*	X2742	266727	37600284	37665766	65483	-	1242	upstream	1242	MDGA1
chr6	39760446	39760456	11	*	X2744	23500	39760159	39872653	112495	+	0	inside	286	DAAM2
chr6	72595708	72595749	42	*	X2802	22999	72596406	73112845	516440	+	656	upstream	656	RIMS1
chr6	73331527	73331538	12	*	X2803	56479	73331571	73908573	577003	+	32	upstream	32	KCNQ5
chr6	114177540	114177549	10	*	X2874	4082	114178527	114184652	6126	+	977	upstream	977	MARCKS
chr6	114177552	114177561	10	*	X2875	4082	114178527	114184652	6126	+	965	upstream	965	MARCKS
chr6	117196752	117196779	28	*	X2876	222546	117198376	117253326	54951	+	1596	upstream	1596	RFX6
chr6	124124396	124124414	19	*	X2886	154215	124125069	125146786	1021718	+	654	upstream	654	NKAIN2
chr6	124125104	124125112	9	*	X2887	154215	124125069	125146786	1021718	+	0	inside	34	NKAIN2
chr6	126067114	126067122	9	*	X2901	23493	126068780	126082415	13636	+	1657	upstream	1657	HEY2
chr6	127438834	127438842	9	*	X2902	84870	127440048	127518910	78863	+	1205	upstream	1205	RSPO3
chr6	130688272	130688281	10	*	X2912	154075	130465447	130686570	221124	-	1701	upstream	1701	SAMD3
chr6	134208449	134208450	2	*	X2927	6943	134210259	134216675	6417	+	1808	upstream	1808	TCF21
chr6	166400866	166400881	16	*	X2945	441177	166401039	166403103	2065	+	157	upstream	157	LINC00602
chr6	166400934	166400949	16	*	X2946	441177	166401039	166403103	2065	+	89	upstream	89	LINC00602
chr6	166401453	166401461	9	*	X2947	90632	166337536	166401527	63992	-	0	inside	65	LINC00473
chr7	15727161	15727169	9	*	X2979	4223	15650837	15726308	75472	-	852	upstream	852	MEOX2
chr7	16566169	16566182	14	*	X2986	100506049	16566505	16621114	54610	+	322	upstream	322	LRRC72
chr7	16566344	16566354	11	*	X2987	100506049	16566505	16621114	54610	+	150	upstream	150	LRRC72
chr7	20826607	20826612	6	*	X3002	221833	20821894	20826508	4615	-	98	upstream	98	SP8
chr7	20826731	20826739	9	*	X3003	221833	20821894	20826508	4615	-	222	upstream	222	SP8
chr7	20826899	20826907	9	*	X3004	221833	20821894	20826508	4615	-	390	upstream	390	SP8
chr7	20827110	20827121	12	*	X3005	221833	20821894	20826508	4615	-	601	upstream	601	SP8
chr7	20827565	20827573	9	*	X3006	221833	20821894	20826508	4615	-	1056	upstream	1056	SP8
chr7	20827852	20827861	10	*	X3007	221833	20821894	20826508	4615	-	1343	upstream	1343	SP8
chr7	29235247	29235266	20	*	X3174	54504	29035247	29234892	199646	-	354	upstream	354	CPVL
chr7	39016182	39016191	10	*	X3243	11281	39017609	39504390	486782	+	1417	upstream	1417	POU6F2
chr7	39016200	39016211	12	*	X3244	11281	39017609	39504390	486782	+	1397	upstream	1397	POU6F2
chr7	39016214	39016233	20	*	X3245	11281	39017609	39504390	486782	+	1375	upstream	1375	POU6F2
chr7	39017437	39017450	14	*	X3246	11281	39017609	39504390	486782	+	158	upstream	158	POU6F2
chr7	47989839	47989848	10	*	X3270	168507	47814250	47988071	173822	-	1767	upstream	1767	PKD1L1
chr7	69062905	69062905	1	*	X3330	26053	69063905	70257885	1193981	+	999	upstream	999	AUTS2
chr7	71912616	71912625	10	*	X3404	83698	71244476	71912136	667661	-	479	upstream	479	CALN1
chr7	71912637	71912645	9	*	X3405	83698	71244476	71912136	667661	-	500	upstream	500	CALN1
chr7	71912696	71912709	14	*	X3406	83698	71244476	71912136	667661	-	559	upstream	559	CALN1
chr7	71912846	71912856	11	*	X3407	83698	71244476	71912136	667661	-	709	upstream	709	CALN1
chr7	71912871	71912882	12	*	X3408	83698	71244476	71912136	667661	-	734	upstream	734	CALN1
chr7	71912902	71912910	9	*	X3409	83698	71244476	71912136	667661	-	765	upstream	765	CALN1
chr7	71912963	71912987	25	*	X3410	83698	71244476	71912136	667661	-	826	upstream	826	CALN1
chr7	71913067	71913078	12	*	X3411	83698	71244476	71912136	667661	-	930	upstream	930	CALN1
chr7	71913129	71913137	9	*	X3412	83698	71244476	71912136	667661	-	992	upstream	992	CALN1
chr7	71913147	71913156	10	*	X3413	83698	71244476	71912136	667661	-	1010	upstream	1010	CALN1
chr7	77976489	77976500	12	*	X3418	399670	77976559	77988770	12212	+	58	upstream	58	RPL13AP17
chr7	79083135	79083139	5	*	X3444	9863	77646374	79082890	1436517	-	244	upstream	244	MAGI2
chr7	79083187	79083195	9	*	X3445	9863	77646374	79082890	1436517	-	296	upstream	296	MAGI2
chr7	81400301	81400316	16	*	X3470	3082	81331444	81399452	68009	-	848	upstream	848	HGF
chr7	83824733	83824766	34	*	X3475	10371	83587659	83824217	236559	-	515	upstream	515	SEMA3A
chr7	86271399	86271441	43	*	X3477	2913	86273230	86494192	220963	+	1788	upstream	1788	GRM3
chr7	86271949	86271957	9	*	X3478	2913	86273230	86494192	220963	+	1272	upstream	1272	GRM3
chr7	96634781	96634790	10	*	X3568	1750	96635290	96640352	5063	+	499	upstream	499	DLX6
chr7	96654318	96654326	9	*	X3570	1749	96649702	96654143	4442	-	174	upstream	174	DLX5
chr7	96654329	96654342	14	*	X3571	1749	96649702	96654143	4442	-	185	upstream	185	DLX5
chr7	96655725	96655734	10	*	X3572	1749	96649702	96654143	4442	-	1581	upstream	1581	DLX5
chr7	100810415	100810423	9	*	X3585	7425	100805790	100808852	3063	-	1562	upstream	1562	VGF
chr7	107644182	107644190	9	*	X3656	3912	107564246	107643804	79559	-	377	upstream	377	LAMB1
chr7	107645351	107645360	10	*	X3657	3912	107564246	107643804	79559	-	1546	upstream	1546	LAMB1
chr7	111844939	111844964	26	*	X3684	11179	111846643	111983989	137347	+	1678	upstream	1678	ZNF277
chr7	111845829	111845855	27	*	X3685	11179	111846643	111983989	137347	+	787	upstream	787	ZNF277
chr7	113724677	113724686	10	*	X3700	93986	113726365	114333827	607463	+	1678	upstream	1678	FOXP2
chr7	113726248	113726259	12	*	X3701	93986	113726365	114333827	607463	+	105	upstream	105	FOXP2
chr7	113726266	113726274	9	*	X3702	93986	113726365	114333827	607463	+	90	upstream	90	FOXP2
chr7	113726291	113726299	9	*	X3703	93986	113726365	114333827	607463	+	65	upstream	65	FOXP2
chr7	113726310	113726337	28	*	X3704	93986	113726365	114333827	607463	+	27	upstream	27	FOXP2
chr7	114561957	114561965	9	*	X3710	29969	114562209	114659970	97762	+	243	upstream	243	MDFIC
chr7	119913247	119913256	10	*	X3722	3751	119913722	120390387	476666	+	465	upstream	465	KCND2
chr7	120628792	120628806	15	*	X3723	79974	120628751	120937498	308748	+	0	inside	40	CPED1
chr7	120628817	120628836	20	*	X3724	79974	120628751	120937498	308748	+	0	inside	65	CPED1
chr7	120628845	120628855	11	*	X3725	79974	120628751	120937498	308748	+	0	inside	93	CPED1
chr7	121513384	121513404	21	*	X3737	5803	121513159	121702090	188932	+	0	inside	224	PTPRZ1
chr7	121513415	121513424	10	*	X3738	5803	121513159	121702090	188932	+	0	inside	255	PTPRZ1
chr7	136553415	136553426	12	*	X3756	1129	136553399	136701771	148373	+	0	inside	15	CHRM2
chr7	136553494	136553521	28	*	X3757	1129	136553399	136701771	148373	+	0	inside	94	CHRM2
chr7	136553524	136553525	2	*	X3758	1129	136553399	136701771	148373	+	0	inside	124	CHRM2
chr7	141403344	141403367	24	*	X3782	57189	141356528	141401953	45426	-	1390	upstream	1390	DENND11
chr7	141811808	141811844	37	*	X3783	93432	141811549	141843783	32235	+	0	inside	258	MGAM2
chr7	155604885	155604899	15	*	X3880	6469	155592736	155604967	12232	-	0	inside	67	SHH
chr8	1992666	1992677	12	*	X3940	9172	1993158	2093380	100223	+	480	upstream	480	MYOM2
chr8	63161216	63161239	24	*	X4094	286183	63161501	63903628	742128	+	261	upstream	261	NKAIN3
chr8	68864128	68864190	63	*	X4112	80243	68864603	69143897	279295	+	412	upstream	412	PREX2
chr8	68864698	68864711	14	*	X4113	80243	68864603	69143897	279295	+	0	inside	94	PREX2
chr8	69243018	69243028	11	*	X4114	116328	69242957	69731258	488302	+	0	inside	60	C8orf34
chr8	69243031	69243061	31	*	X4115	116328	69242957	69731258	488302	+	0	inside	73	C8orf34
chr8	69243935	69243946	12	*	X4117	286189	69215703	69243726	28024	-	208	upstream	208	C8orf34-AS1
chr8	69244280	69244288	9	*	X4118	286189	69215703	69243726	28024	-	553	upstream	553	C8orf34-AS1
chr8	72274607	72274617	11	*	X4135	2138	72109668	72274467	164800	-	139	upstream	139	EYA1
chr8	74006743	74006751	9	*	X4143	157869	73976778	74005507	28730	-	1235	upstream	1235	SBSPON
chr8	79718012	79718020	9	*	X4163	3574	79645007	79717758	72752	-	253	upstream	253	IL7
chr8	85094746	85094755	10	*	X4188	138046	85095453	85834078	738626	+	697	upstream	697	RALYL
chr8	89340696	89340707	12	*	X4200	4325	89049460	89339717	290258	-	978	upstream	978	MMP16
chr8	104512677	104512685	9	*	X4220	9699	104512976	105266656	753681	+	290	upstream	290	RIMS2
chr8	108512061	108512108	48	*	X4258	284	108261710	108510254	248545	-	1806	upstream	1806	ANGPT1
chr8	110098799	110098818	20	*	X4278	7201	110099653	110131812	32160	+	834	upstream	834	TRHR
chr8	114450734	114450763	30	*	X4286	114788	113235159	114449242	1214084	-	1491	upstream	1491	CSMD3
chr8	114450766	114450774	9	*	X4287	114788	113235159	114449242	1214084	-	1523	upstream	1523	CSMD3
chr8	114450806	114450814	9	*	X4288	114788	113235159	114449242	1214084	-	1563	upstream	1563	CSMD3
chr8	114450884	114450895	12	*	X4289	114788	113235159	114449242	1214084	-	1641	upstream	1641	CSMD3
chr8	121824676	121824684	9	*	X4294	6641	121547985	121824309	276325	-	366	upstream	366	SNTB1
chr8	122654140	122654166	27	*	X4297	3037	122625271	122653630	28360	-	509	upstream	509	HAS2
chr8	122654170	122654188	19	*	X4298	3037	122625271	122653630	28360	-	539	upstream	539	HAS2
chr9	10614536	10614545	10	*	X4496	5789	8314246	10612723	2298478	-	1812	upstream	1812	PTPRD
chr9	16871351	16871361	11	*	X4507	54796	16409501	16870786	461286	-	564	upstream	564	BNC2
chr9	16871946	16871956	11	*	X4508	54796	16409501	16870786	461286	-	1159	upstream	1159	BNC2
chr9	18474354	18474364	11	*	X4509	92949	18474079	18910947	436869	+	0	inside	274	ADAMTSL1
chr9	18474375	18474390	16	*	X4510	92949	18474079	18910947	436869	+	0	inside	295	ADAMTSL1
